Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,324,2024-02-12 20:00:00,2024-02-12 19:55:00,A,CDG,PARIS,FRANCE,3,LANDED
SK,3160,2024-02-12 20:00:00,2024-02-12 19:55:00,A,CDG,PARIS,FRANCE,3,LANDED
IZ,827,2024-02-12 19:40:00,2024-02-12 19:58:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
LY,5133,2024-02-12 20:00:00,2024-02-12 20:15:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
6H,46,2024-02-12 19:30:00,2024-02-12 20:43:00,A,ETM,RAMON,ISRAEL,3,LANDED
LY,87,2024-02-12 20:35:00,2024-02-12 20:45:00,D,HKT,PHUKET,THAILAND,3,DEPARTED
LY,5108,2024-02-12 20:50:00,2024-02-12 20:57:00,A,TBS,TBILISI,GEORGIA,3,LANDED
LY,81,2024-02-12 20:05:00,2024-02-12 20:58:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
QF,5020,2024-02-12 20:05:00,2024-02-12 20:58:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
TG,4584,2024-02-12 20:05:00,2024-02-12 20:58:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
VN,3298,2024-02-12 20:05:00,2024-02-12 20:58:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
LY,612,2024-02-12 20:55:00,2024-02-12 21:08:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
S7,4483,2024-02-12 20:55:00,2024-02-12 21:08:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
LY,974,2024-02-12 21:45:00,2024-02-12 21:31:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
IZ,828,2024-02-12 21:45:00,2024-02-12 21:38:00,A,ETM,RAMON,ISRAEL,3,LANDED
6H,844,2024-02-12 22:25:00,2024-02-12 22:23:00,A,RMO,CHISINAU,MOLDOVA,3,LANDED
LY,544,2024-02-12 22:25:00,2024-02-12 22:35:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,84,2024-02-12 22:50:00,2024-02-12 22:44:00,A,BKK,BANGKOK,THAILAND,3,LANDED
QF,5019,2024-02-12 22:50:00,2024-02-12 22:44:00,A,BKK,BANGKOK,THAILAND,3,LANDED
TG,4585,2024-02-12 22:50:00,2024-02-12 22:44:00,A,BKK,BANGKOK,THAILAND,3,LANDED
VN,3295,2024-02-12 22:50:00,2024-02-12 22:44:00,A,BKK,BANGKOK,THAILAND,3,LANDED
LY,5134,2024-02-12 23:10:00,2024-02-12 22:57:00,A,LCA,LARNACA,CYPRUS,3,LANDED
AA,9260,2024-02-12 21:05:00,2024-02-12 23:08:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
LY,316,2024-02-12 21:05:00,2024-02-12 23:08:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED
LY,5102,2024-02-12 23:10:00,2024-02-12 23:21:00,A,WAW,WARSAW,POLAND,3,LANDED
6H,562,2024-02-13 00:05:00,2024-02-13 00:08:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,572,2024-02-13 00:20:00,2024-02-13 00:09:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
LY,5110,2024-02-12 23:50:00,2024-02-13 00:13:00,A,TBS,TBILISI,GEORGIA,3,LANDED
LY,614,2024-02-13 00:20:00,2024-02-13 00:37:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
AA,387,2024-02-13 00:35:00,2024-02-13 00:49:00,A,FCO,ROME,ITALY,3,LANDED
AR,7874,2024-02-13 00:35:00,2024-02-13 00:49:00,A,FCO,ROME,ITALY,3,LANDED
LY,384,2024-02-13 00:35:00,2024-02-13 00:49:00,A,FCO,ROME,ITALY,3,LANDED
SK,3166,2024-02-13 00:35:00,2024-02-13 00:49:00,A,FCO,ROME,ITALY,3,LANDED
TP,8897,2024-02-13 00:35:00,2024-02-13 00:49:00,A,FCO,ROME,ITALY,3,LANDED
IZ,639,2024-02-13 00:30:00,2024-02-13 00:52:00,D,SEZ,MAHE SEYCHELLES,SEYCHELLES,3,DEPARTED
ET,404,2024-02-13 01:05:00,2024-02-13 00:54:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8804,2024-02-13 01:05:00,2024-02-13 00:54:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,364,2024-02-13 00:35:00,2024-02-13 01:00:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
LY,388,2024-02-13 00:55:00,2024-02-13 01:07:00,A,MXP,MILAN,ITALY,3,LANDED
SK,3180,2024-02-13 00:55:00,2024-02-13 01:07:00,A,MXP,MILAN,ITALY,3,LANDED
TP,8901,2024-02-13 00:55:00,2024-02-13 01:07:00,A,MXP,MILAN,ITALY,3,LANDED
AM,7869,2024-02-13 00:45:00,2024-02-13 01:10:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
AR,7853,2024-02-13 00:45:00,2024-02-13 01:10:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
B6,6451,2024-02-13 00:45:00,2024-02-13 01:10:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
DL,7424,2024-02-13 00:45:00,2024-02-13 01:10:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
LY,1,2024-02-13 00:45:00,2024-02-13 01:10:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
B6,6465,2024-02-13 01:05:00,2024-02-13 01:25:00,D,BOS,BOSTON,UNITED STATES,3,DEPARTED
DL,7435,2024-02-13 01:05:00,2024-02-13 01:25:00,D,BOS,BOSTON,UNITED STATES,3,DEPARTED
LY,15,2024-02-13 01:05:00,2024-02-13 01:25:00,D,BOS,BOSTON,UNITED STATES,3,DEPARTED
AM,7875,2024-02-13 00:45:00,2024-02-13 01:28:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
B6,6461,2024-02-13 00:45:00,2024-02-13 01:28:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
DL,7428,2024-02-13 00:45:00,2024-02-13 01:28:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
LY,5,2024-02-13 00:45:00,2024-02-13 01:28:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
AR,7851,2024-02-13 01:00:00,2024-02-13 01:34:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
B6,6467,2024-02-13 01:00:00,2024-02-13 01:34:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
DL,7437,2024-02-13 01:00:00,2024-02-13 01:34:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
LY,17,2024-02-13 01:00:00,2024-02-13 01:34:00,D,MIA,MIAMI,UNITED STATES,3,DEPARTED
B6,6483,2024-02-13 00:50:00,2024-02-13 01:40:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
DL,7443,2024-02-13 00:50:00,2024-02-13 01:40:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
LY,27,2024-02-13 00:50:00,2024-02-13 01:40:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
ET,405,2024-02-13 02:05:00,2024-02-13 02:18:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,8807,2024-02-13 02:05:00,2024-02-13 02:18:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,DEPARTED
LY,376,2024-02-13 02:30:00,2024-02-13 02:28:00,A,LIS,LISBON,PORTUGAL,3,LANDED
TP,8913,2024-02-13 02:30:00,2024-02-13 02:28:00,A,LIS,LISBON,PORTUGAL,3,LANDED
LY,2524,2024-02-13 02:45:00,2024-02-13 02:39:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
AM,7850,2024-02-13 02:55:00,2024-02-13 02:59:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
