,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
510,AM,7864,AERO MEXICO,2024-02-14T06:05:00,2024-02-14T06:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
511,LY,337,EL AL ISRAEL AIRLINES,2024-02-14T06:05:00,2024-02-14T06:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
512,SK,3155,SAS,2024-02-14T06:05:00,2024-02-14T06:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
513,AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-02-14T06:10:00,2024-02-14T06:10:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
514,LY,357,EL AL ISRAEL AIRLINES,2024-02-14T06:10:00,2024-02-14T06:10:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
515,LY,385,EL AL ISRAEL AIRLINES,2024-02-14T06:10:00,2024-02-14T06:10:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
516,SK,3165,SAS,2024-02-14T06:10:00,2024-02-14T06:10:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
517,SK,3167,SAS,2024-02-14T06:10:00,2024-02-14T06:10:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
518,TP,8898,AIR PORTUGAL,2024-02-14T06:10:00,2024-02-14T06:10:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
519,AA,9265,AMERICAN AIRLINES,2024-02-14T06:15:00,2024-02-14T06:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
520,AM,7879,AERO MEXICO,2024-02-14T06:15:00,2024-02-14T06:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
521,AR,7871,AEROLINEAS ARGENTINAS S.A.,2024-02-14T06:15:00,2024-02-14T06:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
522,IB,2394,IBERIA,2024-02-14T06:15:00,2024-02-14T06:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
524,LY,395,EL AL ISRAEL AIRLINES,2024-02-14T06:15:00,2024-02-14T06:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
528,IB,2392,IBERIA,2024-02-14T06:30:00,2024-02-14T06:30:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
529,IZ,291,ARKIA  ISRAELI  AIRLINES,2024-02-14T06:30:00,2024-02-14T06:30:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,50-55,B,ON TIME,בזמן
530,LY,393,EL AL ISRAEL AIRLINES,2024-02-14T06:30:00,2024-02-14T06:30:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
532,LY,381,EL AL ISRAEL AIRLINES,2024-02-14T06:50:00,2024-02-14T06:50:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
533,LY,541,EL AL ISRAEL AIRLINES,2024-02-14T06:50:00,2024-02-14T06:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
534,SK,3185,SAS,2024-02-14T06:50:00,2024-02-14T06:50:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
535,TP,8910,AIR PORTUGAL,2024-02-14T06:50:00,2024-02-14T06:50:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
536,IZ,801,ARKIA  ISRAELI  AIRLINES,2024-02-14T07:00:00,2024-02-14T07:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,ON TIME,בזמן
537,LY,311,EL AL ISRAEL AIRLINES,2024-02-14T07:00:00,2024-02-14T07:00:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
538,LY,361,EL AL ISRAEL AIRLINES,2024-02-14T07:00:00,2024-02-14T07:00:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,78-99,D,ON TIME,בזמן
539,LY,573,EL AL ISRAEL AIRLINES,2024-02-14T07:00:00,2024-02-14T07:00:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
540,LY,2365,EL AL ISRAEL AIRLINES,2024-02-14T07:05:00,2024-02-14T07:05:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
541,6H,661,ISRAIR AIRLINES,2024-02-14T07:20:00,2024-02-14T07:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-37,B,ON TIME,בזמן
542,LY,551,EL AL ISRAEL AIRLINES,2024-02-14T07:30:00,2024-02-14T07:30:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,78-99,D,ON TIME,בזמן
543,6H,043,ISRAIR AIRLINES,2024-02-14T07:30:00,2024-02-14T07:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G5,G,ON TIME,בזמן
548,6H,883,ISRAIR AIRLINES,2024-02-14T07:45:00,2024-02-14T07:45:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,37-40,B,ON TIME,בזמן
549,LY,131,EL AL ISRAEL AIRLINES,2024-02-14T08:00:00,2024-02-14T08:00:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
551,LY,611,EL AL ISRAEL AIRLINES,2024-02-14T08:20:00,2024-02-14T08:20:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,ON TIME,בזמן
552,S7,4482,SIBERIA AIRLINES,2024-02-14T08:20:00,2024-02-14T08:20:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,ON TIME,בזמן
555,AM,7885,AERO MEXICO,2024-02-14T09:00:00,2024-02-14T09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
556,LY,003,EL AL ISRAEL AIRLINES,2024-02-14T09:00:00,2024-02-14T09:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
557,LY,323,EL AL ISRAEL AIRLINES,2024-02-14T09:00:00,2024-02-14T09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
558,SK,3163,SAS,2024-02-14T09:00:00,2024-02-14T09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
559,LY,5129,EL AL ISRAEL AIRLINES,2024-02-14T09:05:00,2024-02-14T09:05:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,78-99,D,ON TIME,בזמן
560,AA,9261,AMERICAN AIRLINES,2024-02-14T09:15:00,2024-02-14T09:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
561,AM,7863,AERO MEXICO,2024-02-14T09:15:00,2024-02-14T09:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
563,LY,315,EL AL ISRAEL AIRLINES,2024-02-14T09:15:00,2024-02-14T09:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
564,SK,3181,SAS,2024-02-14T09:15:00,2024-02-14T09:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
565,IZ,807,ARKIA  ISRAELI  AIRLINES,2024-02-14T10:00:00,2024-02-14T10:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,ON TIME,בזמן
567,6H,563,ISRAIR AIRLINES,2024-02-14T10:00:00,2024-02-14T10:00:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-37,B,ON TIME,בזמן
568,EK,2370,EMIRATES,2024-02-14T10:10:00,2024-02-14T10:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
569,FZ,1550,FLYDUBAI,2024-02-14T10:10:00,2024-02-14T10:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
570,IZ,603,ARKIA  ISRAELI  AIRLINES,2024-02-14T10:15:00,2024-02-14T10:15:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,51-55,B,ON TIME,בזמן
574,6H,047,ISRAIR AIRLINES,2024-02-14T11:00:00,2024-02-14T11:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G5,G,ON TIME,בזמן
582,LY,5791,EL AL ISRAEL AIRLINES,2024-02-14T11:30:00,2024-02-14T11:30:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
583,EK,2451,EMIRATES,2024-02-14T11:35:00,2024-02-14T11:35:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
584,FZ,1082,FLYDUBAI,2024-02-14T11:35:00,2024-02-14T11:35:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
587,LY,615,EL AL ISRAEL AIRLINES,2024-02-14T11:45:00,2024-02-14T11:45:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,ON TIME,בזמן
590,LY,973,EL AL ISRAEL AIRLINES,2024-02-14T11:50:00,2024-02-14T11:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,ON TIME,בזמן
593,A4,5026,AZIMUTH AIRLINES,2024-02-14T12:05:00,2024-02-14T12:05:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,38-40,B,ON TIME,בזמן
597,BZ,112,BLUE BIRD AIRWAYS,2024-02-14T12:40:00,2024-02-14T12:40:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,63-65,C,ON TIME,בזמן
598,A3,927,AEGEAN  AIRLINES,2024-02-14T12:50:00,2024-02-14T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-44,B,ON TIME,בזמן
599,EK,4978,EMIRATES,2024-02-14T12:50:00,2024-02-14T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-44,B,ON TIME,בזמן
600,FB,1514,BULGARIA  AIR,2024-02-14T12:50:00,2024-02-14T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-44,B,ON TIME,בזמן
601,JU,7621,AIR SERBIA,2024-02-14T12:50:00,2024-02-14T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-44,B,ON TIME,בזמן
602,LX,255,SWISS INT`L  AIRLINES,2024-02-14T12:50:00,2024-02-14T12:50:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,24-33,A,ON TIME,בזמן
603,EK,2364,EMIRATES,2024-02-14T12:55:00,2024-02-14T12:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
604,FZ,1212,FLYDUBAI,2024-02-14T12:55:00,2024-02-14T12:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
605,AM,7871,AERO MEXICO,2024-02-14T13:00:00,2024-02-14T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
606,AR,7855,AEROLINEAS ARGENTINAS S.A.,2024-02-14T13:00:00,2024-02-14T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
607,B6,6455,JETBLUE AIRWAYS CORPORATION,2024-02-14T13:00:00,2024-02-14T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
608,DL,7430,DELTA AIRLINES,2024-02-14T13:00:00,2024-02-14T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
609,EY,594,ETIHAD AIRWAYS,2024-02-14T13:00:00,2024-02-14T13:00:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,68-74,C,ON TIME,בזמן
610,LY,007,EL AL ISRAEL AIRLINES,2024-02-14T13:00:00,2024-02-14T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
611,LY,9601,EL AL ISRAEL AIRLINES,2024-02-14T13:00:00,2024-02-14T13:00:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,68-74,C,ON TIME,בזמן
614,IZ,815,ARKIA  ISRAELI  AIRLINES,2024-02-14T13:10:00,2024-02-14T13:10:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,ON TIME,בזמן
615,FR,9987,RYANAIR,2024-02-14T13:20:00,2024-02-14T13:20:00,D,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,46-49,B,ON TIME,בזמן
622,LY,375,EL AL ISRAEL AIRLINES,2024-02-14T13:40:00,2024-02-14T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
623,TP,8920,AIR PORTUGAL,2024-02-14T13:40:00,2024-02-14T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
630,EK,2346,EMIRATES,2024-02-14T14:20:00,2024-02-14T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
631,FZ,1126,FLYDUBAI,2024-02-14T14:20:00,2024-02-14T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
634,BZ,702,BLUE BIRD AIRWAYS,2024-02-14T14:30:00,2024-02-14T14:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,65-67,C,ON TIME,בזמן
636,6H,725,ISRAIR AIRLINES,2024-02-14T14:30:00,2024-02-14T14:30:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,34-37,B,ON TIME,בזמן
637,LY,5107,EL AL ISRAEL AIRLINES,2024-02-14T14:35:00,2024-02-14T14:35:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
638,6H,767,ISRAIR AIRLINES,2024-02-14T14:45:00,2024-02-14T14:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,37-40,B,ON TIME,בזמן
646,IZ,211,ARKIA  ISRAELI  AIRLINES,2024-02-14T15:30:00,2024-02-14T15:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,50-55,B,ON TIME,בזמן
653,LY,343,EL AL ISRAEL AIRLINES,2024-02-14T15:35:00,2024-02-14T15:35:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
655,SK,3191,SAS,2024-02-14T15:35:00,2024-02-14T15:35:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
657,LY,387,EL AL ISRAEL AIRLINES,2024-02-14T15:45:00,2024-02-14T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
658,SK,3183,SAS,2024-02-14T15:45:00,2024-02-14T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
664,AM,7851,AERO MEXICO,2024-02-14T16:10:00,2024-02-14T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
665,LY,339,EL AL ISRAEL AIRLINES,2024-02-14T16:10:00,2024-02-14T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
666,SK,3151,SAS,2024-02-14T16:10:00,2024-02-14T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
667,IZ,161,ARKIA  ISRAELI  AIRLINES,2024-02-14T16:15:00,2024-02-14T16:15:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,46-50,B,ON TIME,בזמן
669,IZ,821,ARKIA  ISRAELI  AIRLINES,2024-02-14T16:30:00,2024-02-14T16:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,ON TIME,בזמן
670,LH,687,LUFTHANSA,2024-02-14T16:35:00,2024-02-14T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
671,SN,7174,BRUSSELS AIRLINES,2024-02-14T16:35:00,2024-02-14T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
672,UA,9123,UNITED AIRLINES,2024-02-14T16:35:00,2024-02-14T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
677,6H,561,ISRAIR AIRLINES,2024-02-14T16:40:00,2024-02-14T16:40:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,40-43,B,ON TIME,בזמן
678,AM,7853,AERO MEXICO,2024-02-14T16:50:00,2024-02-14T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
679,LY,325,EL AL ISRAEL AIRLINES,2024-02-14T16:50:00,2024-02-14T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
682,AM,7866,AERO MEXICO,2024-02-14T17:05:00,2024-02-14T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
683,AR,7873,AEROLINEAS ARGENTINAS S.A.,2024-02-14T17:05:00,2024-02-14T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
684,IB,2396,IBERIA,2024-02-14T17:05:00,2024-02-14T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
685,LY,397,EL AL ISRAEL AIRLINES,2024-02-14T17:05:00,2024-02-14T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
691,AM,7877,AERO MEXICO,2024-02-14T17:15:00,2024-02-14T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
692,LY,317,EL AL ISRAEL AIRLINES,2024-02-14T17:15:00,2024-02-14T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
693,6H,583,ISRAIR AIRLINES,2024-02-14T17:15:00,2024-02-14T17:15:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,34-37,B,ON TIME,בזמן
694,LY,083,EL AL ISRAEL AIRLINES,2024-02-14T17:25:00,2024-02-14T17:25:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
695,QF,5018,QANTAS AIRWAYS,2024-02-14T17:25:00,2024-02-14T17:25:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
696,TG,4586,THAI AIRWAYS,2024-02-14T17:25:00,2024-02-14T17:25:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
697,LY,5109,EL AL ISRAEL AIRLINES,2024-02-14T17:30:00,2024-02-14T17:30:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
698,LY,2523,EL AL ISRAEL AIRLINES,2024-02-14T17:45:00,2024-02-14T17:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
702,IB,2390,IBERIA,2024-02-14T17:50:00,2024-02-14T17:50:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
704,LY,391,EL AL ISRAEL AIRLINES,2024-02-14T17:50:00,2024-02-14T17:50:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
706,LY,571,EL AL ISRAEL AIRLINES,2024-02-14T17:50:00,2024-02-14T17:50:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
709,LY,2367,EL AL ISRAEL AIRLINES,2024-02-14T18:50:00,2024-02-14T18:50:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
712,LY,543,EL AL ISRAEL AIRLINES,2024-02-14T19:15:00,2024-02-14T19:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
713,LY,5133,EL AL ISRAEL AIRLINES,2024-02-14T19:20:00,2024-02-14T19:20:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,ON TIME,בזמן
714,IZ,827,ARKIA  ISRAELI  AIRLINES,2024-02-14T19:50:00,2024-02-14T19:50:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,ON TIME,בזמן
719,LY,081,EL AL ISRAEL AIRLINES,2024-02-14T20:05:00,2024-02-14T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
720,QF,5020,QANTAS AIRWAYS,2024-02-14T20:05:00,2024-02-14T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
721,TG,4584,THAI AIRWAYS,2024-02-14T20:05:00,2024-02-14T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
722,VN,3298,VIETNAM AIRLINES,2024-02-14T20:05:00,2024-02-14T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
728,LY,051,EL AL ISRAEL AIRLINES,2024-02-14T21:00:00,2024-02-14T21:00:00,D,JNB,JOHANNESBURG,יוהנסבורג,JOHANNESBURG,דרום אפריקה,SOUTH AFRICA,3,78-99,D,ON TIME,בזמן
729,QF,5024,QANTAS AIRWAYS,2024-02-14T21:00:00,2024-02-14T21:00:00,D,JNB,JOHANNESBURG,יוהנסבורג,JOHANNESBURG,דרום אפריקה,SOUTH AFRICA,3,78-99,D,ON TIME,בזמן
740,B6,6481,JETBLUE AIRWAYS CORPORATION,2024-02-15T00:05:00,2024-02-15T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
741,DL,7441,DELTA AIRLINES,2024-02-15T00:05:00,2024-02-15T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
742,LY,025,EL AL ISRAEL AIRLINES,2024-02-15T00:05:00,2024-02-15T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
746,AM,7869,AERO MEXICO,2024-02-15T00:45:00,2024-02-15T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
747,AM,7875,AERO MEXICO,2024-02-15T00:45:00,2024-02-15T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
748,AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-02-15T00:45:00,2024-02-15T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
