_id,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
646,AC,9020,AIR CANADA,2024-02-14T15:30:00,2024-02-14T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
647,IZ,211,ARKIA  ISRAELI  AIRLINES,2024-02-14T15:30:00,2024-02-14T15:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,50-55,B,ON TIME,בזמן
648,LH,686,LUFTHANSA,2024-02-14T15:30:00,2024-02-14T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
649,NH,5459,ALL NIPPON AIRWAYS,2024-02-14T15:30:00,2024-02-14T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
650,SN,7173,BRUSSELS AIRLINES,2024-02-14T15:30:00,2024-02-14T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
651,UA,9120,UNITED AIRLINES,2024-02-14T15:30:00,2024-02-14T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
652,IZ,816,ARKIA  ISRAELI  AIRLINES,2024-02-14T15:35:00,2024-02-14T15:35:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
653,LY,2372,EL AL ISRAEL AIRLINES,2024-02-14T15:35:00,2024-02-14T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
654,LY,343,EL AL ISRAEL AIRLINES,2024-02-14T15:35:00,2024-02-14T15:35:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
655,SK,3154,SAS,2024-02-14T15:35:00,2024-02-14T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
656,SK,3191,SAS,2024-02-14T15:35:00,2024-02-14T15:35:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
657,LY,346,EL AL ISRAEL AIRLINES,2024-02-14T15:45:00,2024-02-14T15:45:00,A,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
658,LY,387,EL AL ISRAEL AIRLINES,2024-02-14T15:45:00,2024-02-14T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
659,SK,3183,SAS,2024-02-14T15:45:00,2024-02-14T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
660,6H,564,ISRAIR AIRLINES,2024-02-14T15:45:00,2024-02-14T15:45:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
661,6H,662,ISRAIR AIRLINES,2024-02-14T15:50:00,2024-02-14T15:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
662,LY,382,EL AL ISRAEL AIRLINES,2024-02-14T16:00:00,2024-02-14T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
663,SK,3184,SAS,2024-02-14T16:00:00,2024-02-14T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
664,LY,358,EL AL ISRAEL AIRLINES,2024-02-14T16:05:00,2024-02-14T16:05:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
