_id,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
607,AR,7855,AEROLINEAS ARGENTINAS S.A.,2024-02-14T13:00:00,2024-02-14T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
608,B6,6455,JETBLUE AIRWAYS CORPORATION,2024-02-14T13:00:00,2024-02-14T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
609,DL,7430,DELTA AIRLINES,2024-02-14T13:00:00,2024-02-14T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
610,EY,594,ETIHAD AIRWAYS,2024-02-14T13:00:00,2024-02-14T13:00:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,68-74,C,ON TIME,בזמן
611,LY,007,EL AL ISRAEL AIRLINES,2024-02-14T13:00:00,2024-02-14T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
612,LY,9601,EL AL ISRAEL AIRLINES,2024-02-14T13:00:00,2024-02-14T13:00:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,68-74,C,ON TIME,בזמן
613,EK,2345,EMIRATES,2024-02-14T13:05:00,2024-02-14T13:05:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
614,FZ,1125,FLYDUBAI,2024-02-14T13:05:00,2024-02-14T13:05:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
615,IZ,815,ARKIA  ISRAELI  AIRLINES,2024-02-14T13:10:00,2024-02-14T13:10:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,ON TIME,בזמן
616,FR,9987,RYANAIR,2024-02-14T13:20:00,2024-02-14T13:20:00,D,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,46-49,B,ON TIME,בזמן
617,BZ,701,BLUE BIRD AIRWAYS,2024-02-14T13:30:00,2024-02-14T13:30:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
618,B6,6466,JETBLUE AIRWAYS CORPORATION,2024-02-14T13:30:00,2024-02-14T13:30:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
619,DL,7436,DELTA AIRLINES,2024-02-14T13:30:00,2024-02-14T13:30:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
620,LY,016,EL AL ISRAEL AIRLINES,2024-02-14T13:30:00,2024-02-14T13:30:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
621,6H,884,ISRAIR AIRLINES,2024-02-14T13:30:00,2024-02-14T13:30:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
622,LY,574,EL AL ISRAEL AIRLINES,2024-02-14T13:35:00,2024-02-14T13:35:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
623,LY,375,EL AL ISRAEL AIRLINES,2024-02-14T13:40:00,2024-02-14T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
624,TP,8920,AIR PORTUGAL,2024-02-14T13:40:00,2024-02-14T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
625,LY,552,EL AL ISRAEL AIRLINES,2024-02-14T13:45:00,2024-02-14T13:45:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
626,6H,048,ISRAIR AIRLINES,2024-02-14T13:45:00,2024-02-14T13:45:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
627,AM,7874,AERO MEXICO,2024-02-14T13:50:00,2024-02-14T13:50:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
628,B6,6462,JETBLUE AIRWAYS CORPORATION,2024-02-14T13:50:00,2024-02-14T13:50:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
629,LY,006,EL AL ISRAEL AIRLINES,2024-02-14T13:50:00,2024-02-14T13:50:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
630,LY,010,EL AL ISRAEL AIRLINES,2024-02-14T14:10:00,2024-02-14T14:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
631,EK,2346,EMIRATES,2024-02-14T14:20:00,2024-02-14T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
